0,Toy Story (1995),0
1,GoldenEye (1995),0
2,Four Rooms (1995),0
3,Get Shorty (1995),0
4,Copycat (1995),0
5,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),0
6,Twelve Monkeys (1995),0
7,Babe (1995),0
8,Dead Man Walking (1995),0
9,Richard III (1995),0
10,Seven (Se7en) (1995),0
11,"Usual Suspects, The (1995)",0
12,Mighty Aphrodite (1995),0
13,"Postino, Il (1994)",0
14,Mr. Holland's Opus (1995),0
15,French Twist (Gazon maudit) (1995),0
16,From Dusk Till Dawn (1996),0
17,"White Balloon, The (1995)",0
18,Antonia's Line (1995),0
19,Angels and Insects (1995),0
20,Muppet Treasure Island (1996),0
21,Braveheart (1995),0
22,Taxi Driver (1976),0
23,Rumble in the Bronx (1995),0
24,"Birdcage, The (1996)",0
25,"Brothers McMullen, The (1995)",0
26,Bad Boys (1995),0
27,Apollo 13 (1995),0
28,Batman Forever (1995),0
29,Belle de jour (1967),0
30,Crimson Tide (1995),0
31,Crumb (1994),0
32,Desperado (1995),0
33,"Doom Generation, The (1995)",0
34,Free Willy 2: The Adventure Home (1995),0
35,Mad Love (1995),0
36,Nadja (1994),0
37,"Net, The (1995)",0
38,Strange Days (1995),0
39,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",0
40,Billy Madison (1995),0
41,Clerks (1994),0
42,Disclosure (1994),0
43,Dolores Claiborne (1994),0
44,Eat Drink Man Woman (1994),0
45,Exotica (1994),0
46,Ed Wood (1994),0
47,Hoop Dreams (1994),0
48,I.Q. (1994),0
49,Star Wars (1977),0
50,Legends of the Fall (1994),0
51,"Madness of King George, The (1994)",0
52,Natural Born Killers (1994),0
53,Outbreak (1995),0
54,"Professional, The (1994)",0
55,Pulp Fiction (1994),0
56,Priest (1994),0
57,Quiz Show (1994),0
58,Three Colors: Red (1994),0
59,Three Colors: Blue (1993),0
60,Three Colors: White (1994),0
61,Stargate (1994),0
62,"Santa Clause, The (1994)",0
63,"Shawshank Redemption, The (1994)",0
64,What's Eating Gilbert Grape (1993),0
65,While You Were Sleeping (1995),0
66,Ace Ventura: Pet Detective (1994),0
67,"Crow, The (1994)",0
68,Forrest Gump (1994),0
69,Four Weddings and a Funeral (1994),0
70,"Lion King, The (1994)",0
71,"Mask, The (1994)",0
72,Maverick (1994),0
73,Faster Pussycat! Kill! Kill! (1965),0
74,Brother Minister: The Assassination of Malcolm X (1994),0
75,Carlito's Way (1993),0
76,"Firm, The (1993)",0
77,Free Willy (1993),0
78,"Fugitive, The (1993)",0
79,Hot Shots! Part Deux (1993),0
80,"Hudsucker Proxy, The (1994)",0
81,Jurassic Park (1993),0
82,Much Ado About Nothing (1993),0
83,Robert A. Heinlein's The Puppet Masters (1994),0
84,"Ref, The (1994)",0
85,"Remains of the Day, The (1993)",0
86,Searching for Bobby Fischer (1993),0
87,Sleepless in Seattle (1993),0
88,Blade Runner (1982),0
89,So I Married an Axe Murderer (1993),0
90,"Nightmare Before Christmas, The (1993)",0
91,True Romance (1993),0
92,Welcome to the Dollhouse (1995),0
93,Home Alone (1990),0
94,Aladdin (1992),0
95,Terminator 2: Judgment Day (1991),0
96,Dances with Wolves (1990),0
97,"Silence of the Lambs, The (1991)",0
98,Snow White and the Seven Dwarfs (1937),0
99,Fargo (1996),0
100,Heavy Metal (1981),0
101,"Aristocats, The (1970)",0
102,All Dogs Go to Heaven 2 (1996),0
103,Theodore Rex (1995),0
104,Sgt. Bilko (1996),0
105,Diabolique (1996),0
106,Moll Flanders (1996),0
107,Kids in the Hall: Brain Candy (1996),0
108,Mystery Science Theater 3000: The Movie (1996),0
109,Operation Dumbo Drop (1995),0
110,"Truth About Cats & Dogs, The (1996)",0
111,Flipper (1996),0
112,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",0
113,Wallace & Gromit: The Best of Aardman Animation (1996),0
114,"Haunted World of Edward D. Wood Jr., The (1995)",0
115,Cold Comfort Farm (1995),0
116,"Rock, The (1996)",0
117,Twister (1996),0
118,Maya Lin: A Strong Clear Vision (1994),0
119,Striptease (1996),0
120,Independence Day (ID4) (1996),0
121,"Cable Guy, The (1996)",0
122,"Frighteners, The (1996)",0
123,Lone Star (1996),0
124,Phenomenon (1996),0
125,"Spitfire Grill, The (1996)",0
126,"Godfather, The (1972)",0
127,Supercop (1992),0
128,Bound (1996),0
